feat_idx,feat_name,gain_importance
1868,IGKV1OR2-108,4.312991e-05
319,TRBV14,4.259973e-05
1590,CCDC40,4.1119372e-05
1843,PLVAP,4.1112922e-05
387,C1QB,4.0570863e-05
1718,LAD1,3.9845156e-05
1205,TNFAIP3,3.9554703e-05
213,TRAV3,3.945113e-05
1275,MSR1,3.944061e-05
1021,CLDN7,3.9400824e-05
69,SFTPB,3.926738e-05
98,TSPAN1,3.887512e-05
485,LTF,3.8796254e-05
1499,AC084033.3,3.86168e-05
1594,PDCD1,3.8457205e-05
1238,FPR3,3.7867554e-05
1835,AMH,3.691284e-05
1707,AL355312.4,3.6741167e-05
988,TMIGD2,3.621329e-05
1742,RFX3,3.5811216e-05
1559,ACAP1,3.5148987e-05
1687,SGTB,3.5124613e-05
1709,LMOD3,3.500958e-05
876,AKR1C2,3.3641732e-05
697,CD27,3.3548553e-05
158,TRBV18,3.3532637e-05
725,CD300E,3.3453765e-05
1242,GPR15,3.338357e-05
768,AC020656.1,3.327892e-05
1285,IQCN,3.235851e-05
533,CTSW,3.214113e-05
1579,TCHH,3.164191e-05
527,TRBV21-1,3.1350406e-05
1028,CCDC114,3.097788e-05
1895,TRH,3.0977462e-05
1717,LSR,3.0505407e-05
351,NUPR1,2.9095338e-05
1241,BTG1,2.9087714e-05
1696,TVP23A,2.9085546e-05
543,HMGB2,2.874635e-05
1199,TMEM176B,2.8252663e-05
391,IGHV5-51,2.8250653e-05
622,IFITM2,2.8149794e-05
208,CXCL6,2.7885271e-05
1253,CYSRT1,2.778534e-05
1426,TNFRSF13C,2.7347303e-05
573,TIGIT,2.7202477e-05
1358,CENPM,2.7104752e-05
275,IGKV2-30,2.658108e-05
137,GSTA2,2.6360796e-05
1715,CD59,2.6255499e-05
601,SLC44A4,2.5770058e-05
148,CCL22,2.5543974e-05
1000,C16orf89,2.5048994e-05
671,FAM129C,2.4999837e-05
1818,APOBEC3H,2.4818222e-05
1434,MYC,2.464561e-05
1159,GADD45A,2.4439636e-05
1443,DUOX2,2.4425277e-05
582,TRBV6-4,2.4095962e-05
1672,GCNT3,2.3641685e-05
1147,GBP1,2.3328283e-05
140,MMP12,2.3210505e-05
1336,C21orf58,2.2998678e-05
1777,AL158071.3,2.2997196e-05
12,CCL4L2,2.2894425e-05
971,TXNDC5,2.2875707e-05
331,IGHV3-53,2.280222e-05
599,C11orf97,2.2675558e-05
1454,LINC00926,2.2611839e-05
1970,AC020659.1,2.2429109e-05
1897,ANPEP,2.2109896e-05
1321,TSTD1,2.1906839e-05
1786,RND1,2.172136e-05
1188,CAMK2N1,2.119503e-05
52,TPPP3,2.089418e-05
203,TRAV13-1,2.0646088e-05
1638,ELANE,2.0613823e-05
1713,AC007032.1,2.056695e-05
1961,CREB3L1,2.053587e-05
1375,AC003092.1,2.0444371e-05
1004,HIST1H2BM,2.0357149e-05
232,AL357093.2,2.0243302e-05
1693,HERC5,2.0222087e-05
969,IGHV1-69,1.9628973e-05
298,CKB,1.9588722e-05
1789,ACY3,1.9392994e-05
586,IFITM1,1.870122e-05
953,HIST1H3G,1.8569375e-05
175,TRAV21,1.8517976e-05
218,IGHA2,1.7917275e-05
238,XCL2,1.7574263e-05
1192,CFAP100,1.7241828e-05
1230,SPACA9,1.7234886e-05
1949,CCDC74B,1.722565e-05
1144,FYN,1.7197146e-05
215,IGLV7-43,1.718481e-05
579,LDLRAD1,1.7038057e-05
680,TPSD1,1.6961416e-05
1431,IGLC7,1.6849062e-05
1874,INSL3,1.6843118e-05
1927,PGLYRP2,1.6842563e-05
1946,ARNT2,1.6778331e-05
968,AC129926.1,1.6726623e-05
423,IGHV2-70,1.5871297e-05
1566,LAT,1.5255181e-05
68,GSTA1,1.5197067e-05
385,IGHV1-24,1.5021727e-05
932,MXD1,1.4850414e-05
632,GPR183,1.46783905e-05
1723,PRSS2,1.4551863e-05
475,SLURP2,1.4267974e-05
1890,IRF1,1.4264753e-05
558,FAM3D,1.4063125e-05
972,CES1,1.4035041e-05
310,SPINK5,1.3826195e-05
1039,TRAT1,1.38102705e-05
422,ZNF683,1.3498518e-05
1066,PDLIM4,1.3487735e-05
1399,AC004130.1,1.3364582e-05
347,SMIM22,1.2927036e-05
139,IGKV4-1,1.2604347e-05
805,FAM30A,1.2455025e-05
1844,AC091808.1,1.2031913e-05
1501,HEPACAM2,1.1972107e-05
949,TRAF1,1.1840087e-05
132,FAM183A,1.1446646e-05
836,DNAH9,1.1141231e-05
511,HIF1A-AS2,1.110535e-05
1691,TRGV5,1.0950767e-05
538,DUOXA2,1.0838272e-05
75,KRT6A,1.0605113e-05
409,IGKV1D-33,1.0574596e-05
1865,PRR15,1.0328367e-05
1428,SIGLEC6,1.0316096e-05
66,C9orf24,1.01605765e-05
1233,AGXT,1.0124021e-05
673,DDIT4,9.641463e-06
466,HSP90B1,9.580945e-06
1417,GPR174,9.110865e-06
448,CLEC4C,9.01538e-06
361,HOPX,8.863261e-06
1438,IRAK2,8.823735e-06
273,IGHV3-11,8.58424e-06
411,TRAV6,8.533828e-06
1475,CFAP46,8.390425e-06
1185,HLA-DQB1,8.342223e-06
1352,MLF1,8.250669e-06
1765,GCSAM,7.673113e-06
1664,FOLR1,7.2983635e-06
501,DNAH5,7.2150315e-06
1141,LUCAT1,7.1044196e-06
1466,LTA4H,7.09794e-06
1880,IGFL1,6.9290463e-06
1292,SLC2A3,6.9250013e-06
996,RRM2,6.637203e-06
1839,PLXDC1,6.4541728e-06
541,SPRR1A,6.211442e-06
114,TRBV10-3,6.1220835e-06
231,CCL13,5.971893e-06
465,DKK1,5.9615027e-06
1932,CACNA2D3,5.9423774e-06
1296,PPIF,5.8353926e-06
1397,P2RY13,5.773339e-06
1137,DLEC1,5.6298695e-06
1780,SYTL3,5.595346e-06
1552,PTPRE,5.3528765e-06
1302,CCRL2,5.1189268e-06
584,TEKT1,5.008301e-06
1232,PCLAF,4.889454e-06
1788,NPHP1,4.852788e-06
1571,DSP,4.794568e-06
1371,RHOD,4.485429e-06
842,HAP1,4.437107e-06
1387,SERPINF1,4.208551e-06
333,S100A16,4.2000534e-06
703,PLAC8,4.156147e-06
826,IGLV1-36,4.0961036e-06
283,SPRR2A,3.6346987e-06
1716,FPR1,3.610125e-06
1971,AL356417.1,3.5682483e-06
1269,ODF3B,3.348238e-06
1277,BBOF1,3.299363e-06
1341,CD83,3.2601329e-06
1539,IGHV3-71,3.1346156e-06
1973,EPHX1,3.1241393e-06
1877,IQCG,3.0380336e-06
1767,MAOB,3.030936e-06
664,GEM,2.9205253e-06
1692,TNFSF13B,2.3698365e-06
500,IGHV3-74,2.320724e-06
794,TCTEX1D2,2.3104203e-06
1334,PHACTR1,2.2052113e-06
1802,CLIC6,1.8674359e-06
520,AL365226.2,1.8632254e-06
575,ALOX15,1.6593958e-06
64,DNAJB1,1.5936093e-06
865,DMKN,1.4841357e-06
84,S100A12,1.3935958e-06
413,ORM1,1.3855017e-06
572,EFHC1,1.3059621e-06
882,CP,1.0254754e-06
548,DNASE1L3,3.769451e-07
1846,AP003354.2,3.3509104e-07
1747,CBLB,1.370311e-07
1014,JUN,3.071947e-08
1424,HIST3H2A,2.898594e-08
1482,ZNF80,0.0
1471,PLAUR,0.0
1459,KLRC4,0.0
25,HSPA6,0.0
1460,SYTL2,0.0
1481,VSIG2,0.0
1450,KLB,0.0
1468,IL19,0.0
1257,SYNE1,0.0
1449,RORA,0.0
1473,ATP2B1-AS1,0.0
1467,CFAP44,0.0
1448,CSF3R,0.0
1484,GPR162,0.0
1485,AL354766.2,0.0
1268,NMU,0.0
1461,KRT80,0.0
1465,PLEKHS1,0.0
1463,AC013470.2,0.0
1472,CEL,0.0
26,LYPD2,0.0
1458,JUNB,0.0
1263,FCMR,0.0
1477,RPS20,0.0
1455,LIME1,0.0
1273,PFN2,0.0
1476,PLA2G2D,0.0
1272,CEACAM1,0.0
1274,ATF5,0.0
1265,LY9,0.0
1452,GCH1,0.0
1264,DNAH7,0.0
1262,FEZ1,0.0
1270,CCK,0.0
1478,NLRC3,0.0
1479,CDH1,0.0
1456,ZNF277,0.0
1261,BASP1,0.0
1271,DNAH10,0.0
1260,C11orf96,0.0
1474,CCDC190,0.0
1259,C5orf63,0.0
1266,BCL11B,0.0
1258,OSCP1,0.0
1421,TAGAP,0.0
